"text","url","date"
"Aniversário do Município de Praia Grande, São Paulo.","http://pt.wikipedia.org/wiki/19_de_janeiro","19 de janeiro"
"Bassiano de Lodi
Henrique de Upsália
Marcelo Spínola
Marcos de Éfeso
Vulstano","http://pt.wikipedia.org/wiki/19_de_janeiro","19 de janeiro"
"No calendário romano era o 14.º dia (XIV) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical E para o dia da semana.
No calendário gregoriano a epacta do dia é xii.","http://pt.wikipedia.org/wiki/19_de_janeiro","19 de janeiro"
"Dia de Martin Luther King Jr — feriado nos Estados Unidos comemorado pela primeira vez em 1986.
Início do mandato presidencial nos Estados Unidos, instituído durante o mandato de Harry Truman.","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"Dia do Farmacêutico
Dia Nacional da Parteira Tradicional - Lei nº 13.100, de 27 de janeiro de 2015
Dia do Fusca[1][2]","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"Feriado de São Sebastião no Rio de Janeiro e em mais de 350 municípios brasileiros
Aniversário do município de Coronel Fabriciano, MG
Aniversário do município de Santa Cruz do Rio Pardo, SP
Aniversário do município de Piraju, SP","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"Dia dos Heróis Nacionais na Guiné-Bissau e Cabo Verde.","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"São Sebastião - Feriado Municipal em Santa Maria da Feira.
Feira de São Sebastião, Município de Castro Verde.","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"Abádio
Basílio Antônio Maria Moreau
Eutímio, o Grande
Papa Fabiano
Sebastião","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"No calendário romano era o 13.º dia (XIII) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical F para o dia da semana.
No calendário gregoriano a epacta do dia é xi.","http://pt.wikipedia.org/wiki/20_de_janeiro","20 de janeiro"
"Feriado nacional em Barbados (dia de Errol Barrow)","http://pt.wikipedia.org/wiki/21_de_janeiro","21 de janeiro"
"Feriado municipal em Vila do Bispo, Região do Algarve, Portugal Continental","http://pt.wikipedia.org/wiki/21_de_janeiro","21 de janeiro"
"Aniversário do município de Goiatuba, GO
Aniversário do município de Pomerode, SC
Aniversário do município de Serra da Raiz, PB","http://pt.wikipedia.org/wiki/21_de_janeiro","21 de janeiro"
"Eulógio e Augúrio de Tarragona
Frutuoso de Tarragona
Inês de Roma
Públio de Malta","http://pt.wikipedia.org/wiki/21_de_janeiro","21 de janeiro"
"No calendário romano era o 12.º dia (XII) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical G para o dia da semana.
No calendário gregoriano a epacta do dia é x.","http://pt.wikipedia.org/wiki/21_de_janeiro","21 de janeiro"
"Dia de São Vicente - Feriado Municipal em São Vicente e Vila do Bispo.","http://pt.wikipedia.org/wiki/22_de_janeiro","22 de janeiro"
"Dia consagrado a Apolo, o Deus Sol, deus das artes e da poesia na mitologia grega.","http://pt.wikipedia.org/wiki/22_de_janeiro","22 de janeiro"
"Anastácio da Pérsia
Guilherme José Chaminade
Laura Vicuña
Vicente de Saragoça
Vicente, Orôncio e Vítor
Vicente Pallotti","http://pt.wikipedia.org/wiki/22_de_janeiro","22 de janeiro"
"No calendário romano era o 11.º dia (XI) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical A para o dia da semana.
No calendário gregoriano a epacta do dia é ix.","http://pt.wikipedia.org/wiki/22_de_janeiro","22 de janeiro"
"Dia Mundial da Liberdade","http://pt.wikipedia.org/wiki/23_de_janeiro","23 de janeiro"
"Emerenciana
Ildefonso de Toledo
Marianne Cope","http://pt.wikipedia.org/wiki/23_de_janeiro","23 de janeiro"
"No calendário romano era o 10.º dia (X) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical B para o dia da semana.
No calendário gregoriano a epacta do dia é viii.","http://pt.wikipedia.org/wiki/23_de_janeiro","23 de janeiro"
"Dia do Festival das Velas na Hungria, ancestral cerimônia de purificação através do poder das Deusas do Fogo.","http://pt.wikipedia.org/wiki/24_de_janeiro","24 de janeiro"
"Aniversário do município de Carazinho, RS","http://pt.wikipedia.org/wiki/24_de_janeiro","24 de janeiro"
"Francisco de Sales","http://pt.wikipedia.org/wiki/24_de_janeiro","24 de janeiro"
"No calendário romano era o 9.º dia (IX) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical C para o dia da semana.
No calendário gregoriano a epacta do dia é vii.","http://pt.wikipedia.org/wiki/24_de_janeiro","24 de janeiro"
"Aniversário do Município de Luanda","http://pt.wikipedia.org/wiki/25_de_janeiro","25 de janeiro"
"Aniversário do município de São Paulo, SP
Aniversário do município de Apuiarés, CE
Aniversário do município de Iguatu, CE
Aniversário do município de Cuité, PB","http://pt.wikipedia.org/wiki/25_de_janeiro","25 de janeiro"
"Conversão do apóstolo Paulo
Gregório de Nazianzo
Ananias de Damasco","http://pt.wikipedia.org/wiki/25_de_janeiro","25 de janeiro"
"No calendário romano era o 8.º dia (VIII) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical D para o dia da semana.
No calendário gregoriano a epacta do dia é vi.","http://pt.wikipedia.org/wiki/25_de_janeiro","25 de janeiro"
"Dia da Austrália – Feriado nacional na Austrália. Comemora o início da efetiva ocupação britânica do país, antes da independência.
Dia da República na Índia – Feriado nacional na Índia. Comemora a proclamação da República em 1950.
Dia de Duarte – Data comemorativa na República Dominicana em homenagem a um dos mártires daquele país, Juan Pablo Duarte.
Liberation Day – Data relativa ao fim do governo do presidente Tito Okello.","http://pt.wikipedia.org/wiki/26_de_janeiro","26 de janeiro"
"Aniversário do município de Estância Balneária de Santos, SP","http://pt.wikipedia.org/wiki/26_de_janeiro","26 de janeiro"
"Aniversário do município de Fazenda Rio Grande, PR
Aniversário do município de Bela Vista do Piauí, PI","http://pt.wikipedia.org/wiki/26_de_janeiro","26 de janeiro"
"Dia dos Deuses Lares, os espíritos guardiães que protegem e habitam as casas ou lares.","http://pt.wikipedia.org/wiki/26_de_janeiro","26 de janeiro"
"Agostinho de Nidrósia
Ordem de Cister
Paula de Roma
Timóteo de Éfeso
Tito","http://pt.wikipedia.org/wiki/26_de_janeiro","26 de janeiro"
"No calendário romano era o 7.º dia (VII) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical E para o dia da semana.
No calendário gregoriano a epacta do dia é v.","http://pt.wikipedia.org/wiki/26_de_janeiro","26 de janeiro"
"Dia Internacional de Recordação do Holocausto","http://pt.wikipedia.org/wiki/27_de_janeiro","27 de janeiro"
"Dia do Orador","http://pt.wikipedia.org/wiki/27_de_janeiro","27 de janeiro"
"Aniversário do município de Pedro Leopoldo, MG","http://pt.wikipedia.org/wiki/27_de_janeiro","27 de janeiro"
"Angela Merici
Jorge Matulaitis
Sava da Sérvia","http://pt.wikipedia.org/wiki/27_de_janeiro","27 de janeiro"
"No calendário romano era o 6.º dia (VI) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical F para o dia da semana.
No calendário gregoriano a epacta do dia é iv.","http://pt.wikipedia.org/wiki/27_de_janeiro","27 de janeiro"
"Dia Mundial dos Corais da Amazônia","http://pt.wikipedia.org/wiki/28_de_janeiro","28 de janeiro"
"Dia do Comércio Exterior
Dia do Portuário
Dia Nacional de Combate ao Trabalho Escravo","http://pt.wikipedia.org/wiki/28_de_janeiro","28 de janeiro"
"Aniversário do município de Apucarana, PR
Aniversário do município de Rolândia, PR
Aniversário do município de Castanhal, PA
Aniversário do município de Passo Fundo, RS","http://pt.wikipedia.org/wiki/28_de_janeiro","28 de janeiro"
"Josef Freinademetz
Tomás de Aquino","http://pt.wikipedia.org/wiki/28_de_janeiro","28 de janeiro"
"No calendário romano era o 5.º dia (V) antes das calendas de fevereiro.
No calendário litúrgico tem a letra dominical G para o dia da semana.
No calendário gregoriano a epacta do dia é iii.","http://pt.wikipedia.org/wiki/28_de_janeiro","28 de janeiro"
"Dia Internacional do Hanseniano","http://pt.wikipedia.org/wiki/29_de_janeiro","29 de janeiro"
"Dia Nacional da Visibilidade Trans","http://pt.wikipedia.org/wiki/29_de_janeiro","29 de janeiro"
"Dia da Incontinência urinária","http://pt.wikipedia.org/wiki/29_de_janeiro","29 de janeiro"
"Afraates
Andrei Rublev
Gildas
Junípero","http://pt.wikipedia.org/wiki/29_de_janeiro","29 de janeiro"
